id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24766296,The Green Acres Groove,65408548,Karl,,28704,35.46936,-82.49883,Entire home/apt,195,1,41,2019-11-10,2.94,5,350
24797144,Sweet Suite in Asheville Y'all!,187473767,Drew And Caroline,,28803,35.49185,-82.53038,Entire home/apt,50,1,143,2019-11-17,7.74,1,334
24817711,The Asheville F R O G,26376755,Matt,,28804,35.62282,-82.55689,Entire home/apt,100,1,117,2019-11-24,8.20,1,144
24828874,Mountain Air & Massage—Peace Room,187697096,Debra,,28803,35.53434,-82.51465,Private room,87,2,14,2019-11-10,1.04,2,358
24834700,"Woodland Retreat w/ HOT TUB & DECKS, 2 mi",187677035,Margaret + Dan,,28805,35.61654,-82.5247,Entire home/apt,249,2,70,2019-11-12,3.86,1,273
24852463,"Explore Breweries, Trails, & Galleries from West Asheville",554888,Ashton,,28806,35.57356,-82.62499,Private room,100,2,70,2019-11-24,3.86,1,56
24872184,Beaver lake lodges 301,179393643,Shaun,,28804,35.63749,-82.57636,Entire home/apt,98,2,14,2019-11-08,0.76,3,297
24873765,Heaven in Haw Creek,188042457,Chad,,28805,35.59819,-82.50456,Private room,99,1,4,2018-07-01,0.22,2,87
24882481,W AVL Artist's Mountain Living  5mns  to downtown,72386853,Brigitte,,28806,35.59032,-82.61638,Entire home/apt,90,30,4,2019-09-29,0.26,1,247
24885757,EastWest Asheville with Private Entrance,10965363,Laurie & Kevin,,28806,35.58325,-82.577,Private room,55,1,46,2019-11-25,2.48,1,74
24893602,Sunny loft in new contemporary home near downtown.,24972747,Linda,,28801,35.60759,-82.55722,Private room,62,2,40,2019-11-03,2.18,1,338
24894370,Laura's Landing,73387032,Laura,,28801,35.58865,-82.54876,Private room,89,2,88,2019-11-24,4.73,1,252
24895256,#3 Dogwood Room - Oakland Cottage B&B,3736218,Mary,,28801,35.57563,-82.55789,Private room,165,1,0,,,7,327
24895844,Recharge in Asheville,179256521,Laura,,28805,35.62943,-82.47848,Entire home/apt,219,1,34,2019-11-24,1.93,1,334
24907910,Mountain View 2 BR Apartment Near Downtown,184575448,Alex,,28804,35.63869,-82.574,Entire home/apt,150,3,23,2019-11-11,1.25,1,76
24916446,"Peaceful home, walk to downtown West Asheville",739976,Joy,,28806,35.56993,-82.57268,Entire home/apt,110,1,90,2019-11-25,4.82,1,358
24942698,Hidden Gem Minutes From The Biltmore House,4213932,Jonathan And Krystal,,28803,35.55587,-82.47554,Entire home/apt,155,3,54,2019-11-23,2.91,1,351
24945996,Tour the Blue Ridge Parkway from a Loft in the Countryside,58199532,Laura,,28704,35.45287,-82.56866,Entire home/apt,100,2,83,2019-11-17,4.52,1,123
